"component","origin","license","copyright"
"addr2line","addr2line","['Apache-2.0 OR MIT']","['Copyright (c) 2016-2018 The gimli']"
"adler2","adler2","['0BSD OR MIT OR Apache-2.0']","['Copyright (c) Jonas Schievink <jonasschievink@gmail.com>']"
"aho-corasick","aho-corasick","['Unlicense OR MIT']","[' Copyright (c) 2015 Andrew Gallant', '(c) 83']"
"ai21","ai21","['Apache-2.0']","[]"
"ai21-tokenizer","ai21-tokenizer","['Apache-2.0']","[]"
"aiobotocore","aiobotocore","['Apache-2.0']","['Copyright 2015-2016 Nikolai Novik']"
"aiocontextvars","aiocontextvars","['BSD-2-Clause AND BSD-3-Clause']","[' Fantix King', "" copyright u'2017"", 'Copyright (c) 2017']"
"aiofiles","aiofiles","['Apache-2.0']","['Copyright 2016 Tin Tvrtkovic']"
"aiohappyeyeballs","aiohappyeyeballs","['0BSD AND BSD-3-Clause AND LicenseRef-scancode-unknown-license-reference AND PSF-2.0 AND Python-2.0']","[' 2002', ' 2003', ' 2004', ' 2005', ' 2006', ' 2007', ' 2008', ' 2009', ' 2010', ' 2011', ' 2012', ' 2013', ' 2014', ' 2015', ' 2016', ' 2017', ' 2018', ' 2019', ' 2020', ' 2021', ' 2022', ' 2023 Python Software Foundation', ' Copyright (c) 1995-2001 Corporation for National Research Initiatives', ' Copyright (c) 2001', ' Stichting Mathematisch Centrum Amsterdam', ' The Netherlands', 'Copyright (c) 1991 - 1995']"
"aiohttp","aiohttp","['Apache-2.0']","[' 2018', ' Copyright Fedor Indutny', 'copyright f project contributors']"
"aiohttp-jinja2","aiohttp-jinja2","['Apache-2.0']","[' copyright 2015-2021 Andrew Svetlov and aio-libs team', 'Copyright 2015-2018 Andrew Svetlov and aio-libs team']"
"aioitertools","aioitertools","['MIT']","[' Copyright 2022 Amethyst Reese', ' copyright Amethyst Reese (https://noswap.com)', 'Copyright (c) 2022 Amethyst Reese']"
"aiomysql","aiomysql","['MIT']","[' 2013 PyMySQL', ' 2013-2014 PyMySQL', ' Copyright (c) 2010', ' copyright 2015', '2016 Nikolay Novik', 'Copyright (c) 2010']"
"aiopg","aiopg","['BSD-2-Clause']","[' 2015', ' Andrew Svetlov', 'Copyright (c) 2014']"
"aioredis","aioredis","['MIT']","[' Copyright (c) 2021 Sean Stewart', 'Copyright (c) 2014-2017 Alexey Popravka']"
"aiosignal","aiosignal","['Apache-2.0']","[' aiosignal contributors', ' copyright 2013-2019', 'Copyright 2013-2019 Nikolay Kim and Andrew Svetlov']"
"aiosqlite","aiosqlite","['MIT']","[' Copyright 2018', ' Copyright 2022 Amethyst Reese', ' copyright Amethyst Reese <https://noswap.com>', 'Copyright (c) 2022 Amethyst Reese']"
"algoliasearch","algoliasearch","['MIT']","['Copyright (c) 2013-Present Algolia']"
"amqp","amqp","['BSD-2-Clause']","[' 2010', ' 2011', ' 2012 Ask Solem', ' Copyright (c) 2007-2008 Barry Pederson <bp@barryp.org>', ' Copyright (c) 2007-2018 Pivotal Software', ' Copyright (c) 2009', ' Copyright (c) 2009 Barry Pederson <bp@barryp.org>', ' Copyright (c) 2012-2014 GoPivotal', ' Copyright (c) 2015-2016 Ask Solem & contributors.', ' Inc.', ' and individual contributors.', "" copyright 2016'"", ' publisher Celery Project', 'Copyright (c) 2007 Barry Pederson <bp@barryp.org>']"
"aniso8601","aniso8601","['BSD-2-Clause AND BSD-3-Clause']","[' Brandon Nielsen', 'Copyright (c) 2021']"
"annotated-types","annotated-types","['MIT']","['Copyright (c) 2022 the contributors']"
"anthropic","anthropic","['MIT']","["" 2012':7701"", ' Copyright 2023 Anthropic', ' PBC.', ""'Ginvalid':7704"", ""'Gslight':7705"", ""'Gtensorflow':7703"", ""'Names':7699"", ""'chi':7697"", ""'ipped':7698"", ""'ributions':7702"", ""'uzz':7700"", '(c) :7696']"
"anyhow","anyhow","['MIT OR Apache-2.0']","[]"
"anyio","anyio","['MIT']","[' Copyright (c) 2018 Alex Gronholm', 'Alex Gronholm copyright 2018']"
"appdirs","appdirs","['MIT']","[' Copyright (c) 2010 ActiveState Software Inc.', ' Copyright (c) 2013 Eddy Petrisor', 'Copyright (c) 2005-2010 ActiveState Software Inc.']"
"arrow","arrow","['Apache-2.0']","[' Chris Smith', ' copyright 2023', 'Copyright 2023 Chris Smith']"
"asgiref","asgiref","['BSD-2-Clause']","['Copyright (c) Django Software Foundation and individual contributors.']"
"asn1crypto","asn1crypto","['MIT']","[' Copyright (c) 2015-2022 Will Bond <will@wbond.net>', 'Copyright (c) 2009 Raymond Hettinger']"
"asttokens","asttokens","['Apache-2.0']","[' Copyright 2023', ' Grist Labs', ' Inc.', ' copyright 2023', 'Copyright 2016 Grist Labs']"
"astunparse","astunparse","['BSD-2-Clause']","[' 2002', ' 2003', ' 2004', ' 2005', ' 2006', ' 2007', ' 2008', ' 2009', ' 2010', ' 2011', ' 2012', ' 2013', ' 2014 Python Software Foundation', ' Copyright (c) 2014', ' Simon Percivall', 'Copyright (c) 2001']"
"async-generator","async-generator","['(Apache-2.0 AND BSD-3-Clause) OR (Apache-2.0 AND MIT)']","[]"
"async-timeout","async-timeout","['Apache-2.0']","['Copyright 2016-2020 aio-libs collaboration']"
"asyncpg","asyncpg","['Apache-2.0']","[' Copyright (c) PSF', ' Portions Copyright (c) 2016-present MagicStack Inc.', ' copyright 2016-present', 'Copyright (c) 2016-present']"
"asynctest","asynctest","['Apache-2.0']","['Copyright 2015 Martin Richard']"
"atomicwrites","atomicwrites","['MIT']","[' Markus Unterwaditzer', ' copyright 2015-2017', 'Copyright (c) 2015-2016 Markus Unterwaditzer']"
"attrs","attrs","['MIT']","[' Copyright (c) 2015 Hynek Schlawack', ' Copyright (c) 2015 Hynek Schlawack""', ' Copyright ..."" is shown in the HTML footer. Default is True.', "" Hynek Schlawack copyright f'2015"", '(c) N Revealed']"
"austin-python","austin-python","[]","[]"
"auth0-python","auth0-python","[]","[]"
"autobahn","autobahn","['MIT']","['Copyright (c) 2018 Luis Teixeira']"
"autocfg","autocfg","['Apache-2.0 OR MIT']","['Copyright (c) 2018 Josh Stone']"
"autocommand","autocommand","['LGPL-3.0-or-later']","[' Copyright 2014-2015 Nathan West', ' Copyright 2014-2016 Nathan West', ' Inc. <https://fsf.org/>', 'Copyright (c) 2007 Free Software Foundation']"
"automat","automat","['MIT']","[' Glyph', ' copyright 2017', 'Copyright (c) 2014 Rackspace']"
"avro","avro","['Apache-2.0']","['Copyright 2010-2015 The Apache Software Foundation']"
"aws-lc-rs","aws-lc-rs","['ISC AND (Apache-2.0 OR ISC)']","[]"
"aws-lc-sys","aws-lc-sys","['ISC AND (Apache-2.0 OR ISC) AND OpenSSL']","[' 2013 - 2022', ' 2014 - 2022', ' 2014 - 2022 Design', ' ARM Inc.', ' Amazon Inc.', ' Arm Ltd.', ' CloudFlare Ltd.', ' Copyright (C) 2022 Intel Corporation', ' Copyright (c) 1995-1998 Eric Young (eay@cryptsoft.com)', ' Copyright (c) 1998-2000 The OpenSSL Project', ' Copyright (c) 1998-2001 The OpenSSL Project', ' Copyright (c) 1998-2002 The OpenSSL Project', ' Copyright (c) 1998-2003 The OpenSSL Project', ' Copyright (c) 1998-2004 The OpenSSL Project', ' Copyright (c) 1998-2005 The OpenSSL Project', ' Copyright (c) 1998-2006 The OpenSSL Project', ' Copyright (c) 1998-2007 The OpenSSL Project', ' Copyright (c) 1998-2011 The OpenSSL Project', ' Copyright (c) 1999 The OpenSSL Project', ' Copyright (c) 1999-2002 The OpenSSL Project', ' Copyright (c) 1999-2003 The OpenSSL Project', ' Copyright (c) 1999-2004 The OpenSSL Project', ' Copyright (c) 1999-2005 The OpenSSL Project', ' Copyright (c) 1999-2007 The OpenSSL Project', ' Copyright (c) 1999-2008 The OpenSSL Project', ' Copyright (c) 2000 The OpenSSL Project', ' Copyright (c) 2000-2002 The OpenSSL Project', ' Copyright (c) 2000-2003 The OpenSSL Project', ' Copyright (c) 2000-2005 The OpenSSL Project', ' Copyright (c) 2001 The OpenSSL Project', ' Copyright (c) 2001-2011 The OpenSSL Project', ' Copyright (c) 2002-2006 The OpenSSL Project', ' Copyright (c) 2003 The OpenSSL Project', ' Copyright (c) 2004 The OpenSSL Project', ' Copyright (c) 2005 The OpenSSL Project', ' Copyright (c) 2006', ' Copyright (c) 2006 The OpenSSL Project', ' Copyright (c) 2007 The OpenSSL Project', ' Copyright (c) 2008 The OpenSSL Project', ' Copyright (c) 2009 The Go Authors', ' Copyright (c) 2010 The OpenSSL Project', ' Copyright (c) 2011', ' Copyright (c) 2011 The OpenSSL Project', ' Copyright (c) 2012', ' Copyright (c) 2012 The OpenSSL Project', ' Copyright (c) 2013 The OpenSSL Project', ' Copyright (c) 2014', ' Copyright (c) 2014 The OpenSSL Project', ' Copyright (c) 2015', ' Copyright (c) 2015 CloudFlare', ' Copyright (c) 2015 The OpenSSL Project', ' Copyright (c) 2015-2016 the fiat-crypto authors (see https://github.com/mit-plv/fiat-crypto/blob/master/AUTHORS)', ' Copyright (c) 2015-2020 the fiat-crypto authors (see https://github.com/mit-plv/fiat-crypto/blob/master/AUTHORS)', ' Copyright (c) 2016', ' Copyright (c) 2017', ' Copyright (c) 2017 - 2021', ' Copyright (c) 2018', ' Copyright (c) 2019', ' Copyright (c) 2020', ' Copyright (c) 2020-2021', ' Copyright (c) 2021', ' Copyright (c) 2021 - 2022', ' Copyright (c) 2022', ' Copyright (c) 2022 Intel Corporation', ' Copyright (c) 2023', ' Copyright (c) 2023 Intel Corporation', ' Copyright (c) 2024', ' Copyright 1995-2016 The OpenSSL Project Authors', ' Copyright 1995-2018 The OpenSSL Project Authors', ' Copyright 1995-2022 The OpenSSL Project Authors', ' Copyright 1995-2022 The OpenSSL Project Authors. All Rights Reserved.', ' Copyright 1998-2016 The OpenSSL Project Authors', ' Copyright 1999-2018 The OpenSSL Project Authors', ' Copyright 2000-2016 The OpenSSL Project Authors', ' Copyright 2001-2017 The OpenSSL Project Authors', ' Copyright 2001-2017 The OpenSSL Project Authors. All Rights Reserved.', ' Copyright 2002 Sun Microsystems', ' Copyright 2005 Nokia', ' Copyright 2005-2016 The OpenSSL Project Authors', ' Copyright 2006-2016 The OpenSSL Project Authors', ' Copyright 2006-2017 The OpenSSL Project Authors', ' Copyright 2006-2019 The OpenSSL Project Authors', ' Copyright 2006-2021 The OpenSSL Project Authors', ' Copyright 2007-2016 The OpenSSL Project Authors', ' Copyright 2009-2016 The OpenSSL Project Authors', ' Copyright 2010-2016 The OpenSSL Project Authors', ' Copyright 2010-2018 The OpenSSL Project Authors', ' Copyright 2011-2016 The OpenSSL Project Authors', ' Copyright 2011-2020 The OpenSSL Project Authors', ' Copyright 2012-2016 The OpenSSL Project Authors', ' Copyright 2013-2016 The OpenSSL Project Authors', ' Copyright 2013-2020 The OpenSSL Project Authors', ' Copyright 2014-2016 The OpenSSL Project Authors', ' Copyright 2014-2018 The OpenSSL Project Authors', ' Copyright 2014-2020 The OpenSSL Project Authors', ' Copyright 2015 The Chromium Authors', ' Copyright 2015-2016 The OpenSSL Project Authors', ' Copyright 2015-2020 The OpenSSL Project Authors', ' Copyright 2015-2021 The OpenSSL Project Authors', ' Copyright 2015-2021 The OpenSSL Project Authors. All Rights Reserved.', ' Copyright 2016 Brian Smith', ' Copyright 2016 The OpenSSL Project Authors', ' Copyright 2017 The OpenSSL Project Authors', ' Copyright 2017-2020 The OpenSSL Project Authors', ' Copyright 2017-2022 The OpenSSL Project Authors', ' Copyright 2018-2022 The OpenSSL Project Authors', ' Copyright 2020 Jan Tojnar', ' Copyright 2020 Jan Tojnar https://github.com/jtojnar/cmake-snips', ' Copyright 2020-2021 The OpenSSL Project Authors', ' Copyright 2020-2022 The OpenSSL Project Authors', ' Copyright 2020-2023 The OpenSSL Project Authors', ' Copyright 2021-2022 The OpenSSL Project Authors', ' Copyright 2021-2023 The OpenSSL Project Authors', ' Copyright Amazon.com', ' Copyright Amazon.com Inc. or its affiliates', ' Copyright Amazon.com Inc. or its affiliates. All Rights Reserved.', ' Copyright Stephan Mueller <smueller@chronox.de> ', ' Google Inc.', ' Inc.', ' Inc. or its affiliates', ' Inc. or its affiliates. All Rights Reserved.', ' Intel Corporation', ' Intel Inc.', ' Joshua E. Hill <josh@keypair.us>', ' Network Resonance', ' RTFM', ' Robert Nagy <robert@openbsd.org>', ' Shay Gueron', ' Stephan Mueller <smueller@chronox.de>', ' copyright Amazon.com', ' holder is Tim Hudson (tjh@cryptsoft.com)', ' the HRSS authors', '2007 The OpenSSL Project', 'Copyright (c) 1995-1997 Eric Young (eay@cryptsoft.com)']"
"aws-sam-translator","aws-sam-translator","['Apache-2.0']","[' Copyright 2016 Amazon.com', ' Copyright 2018 Amazon.com', ' Inc. or its affiliates', 'Copyright (c) 2020 NeuML LLC']"
"aws-xray-sdk","aws-xray-sdk","['Apache-2.0']","[' Copyright Amazon.com', ' Inc. or its affiliates', 'Copyright (c) 2018 Clarity Movement Co.']"
"azure-common","azure-common","['MIT']","[]"
"azure-core","azure-core","['MIT']","['Copyright (c) Microsoft Corporation']"
"azure-functions","azure-functions","['MIT']","[' copyright 2007 Pallets', 'Copyright (c) Microsoft Corporation']"
"azure-storage-blob","azure-storage-blob","['MIT']","['Copyright (c) Microsoft Corporation']"
"backoff","backoff","['MIT']","[' LLC.', 'Copyright (c) 2014 litl']"
"backports-functools-lru-cache","backports-functools-lru-cache","['MIT']","[]"
"backports-tarfile","backports-tarfile","[]","[]"
"backports-zoneinfo","backports-zoneinfo","['Apache-2.0']","[]"
"backtrace","backtrace","['MIT OR Apache-2.0']","['Copyright (c) 2014 Alex Crichton']"
"bcrypt","bcrypt","['Apache-2.0']","['Copyright 2013-2024']"
"beaker","beaker","['BSD-2-Clause AND BSD-3-Clause']","[' 2007 Ben Bangert', ' Copyright (c) 2006', ' Mike Bayer', ' Philip Jenvey and contributors', '(c) 2005 Ian Bicking and contributors']"
"beautifulsoup4","beautifulsoup4","['MIT']","[' Copyright (c) 2004-2019 Leonard Richardson', ' Copyright (c) 2004-2021 Leonard Richardson', ' Copyright (c) 2006-2013 James Graham and other contributors', ' Copyright (c) 2018 Isaac Muse', ' Leonard Richardson', "" copyright u'2004-2015"", "" copyright u'2004-2020"", "" copyright u'2012"", 'Copyright (c) 2004-2017 Leonard Richardson']"
"billiard","billiard","['BSD-2-Clause']","[' Copyright (c) 2006-2008', ' Python Software Foundation', ' R Oudkerk', ' R Oudkerk and Contributors', "" copyright u'2008"", 'Copyright (c) 2006-2008']"
"bindgen","bindgen","['BSD-3-Clause']","[' Jyun-Yan', 'Copyright (c) 2013']"
"bitflags","bitflags","['MIT OR Apache-2.0']","[' Copyright 2014 The Rust Project', 'Copyright (c) 2014 The Rust Project']"
"blessed","blessed","['MIT']","[' Avram Lubkin', ' Copyright (c) 2011 Erik Rose', ' Copyright (c) 2014 Jeff Quast', ' Jeff Quast', "" copyright u'2011 Erik Rose"", 'Copyright (c) 2010 Doug Hellmann']"
"blinker","blinker","['MIT']","[' Copyright 2010 Jason Kirtland', ' Matthew R. Scott', ' Mike C. Fletcher', ' copyright 2010 Jason Kirtland', ""Copyright (c) 2006 Patrick K. O'Brien""]"
